物件CD,賃料,管理費,敷金,礼金,保証金,敷引・償却
100332919516,80000.0,50000.0,,,,
100345841862,70000.0,30000.0,,70000.0,,
100344528114,70000.0,30000.0,,70000.0,,
100344392772,70000.0,30000.0,,70000.0,,
100344623016,70000.0,30000.0,,70000.0,,
100344390671,70000.0,30000.0,,70000.0,,
100344700861,70000.0,30000.0,,70000.0,,
100344489757,70000.0,30000.0,,70000.0,,
100344493895,70000.0,30000.0,,70000.0,,
100344499791,70000.0,30000.0,,70000.0,,
100344490749,70000.0,30000.0,,70000.0,,
100344397478,70000.0,30000.0,,70000.0,,
100344431594,70000.0,30000.0,,70000.0,,
100344393166,70000.0,30000.0,,70000.0,,
100345211251,70000.0,30000.0,,70000.0,,
100344495175,70000.0,30000.0,,70000.0,,
100344496840,70000.0,30000.0,,70000.0,,
100344495108,70000.0,30000.0,,70000.0,,
100344491586,70000.0,30000.0,,70000.0,,
100344493872,70000.0,30000.0,,70000.0,,
100343170296,60000.0,50000.0,,60000.0,,
100343171437,60000.0,50000.0,,60000.0,,
100333035751,60000.0,40000.0,,,,
100342783074,60000.0,50000.0,,60000.0,,
100343765041,60000.0,50000.0,,60000.0,,
100216044751,60000.0,50000.0,,60000.0,,
100343598095,70000.0,30000.0,,70000.0,,
100342911460,70000.0,30000.0,,70000.0,,
100343017466,70000.0,30000.0,,70000.0,,
100342912427,70000.0,30000.0,,70000.0,,
100343060541,70000.0,30000.0,,70000.0,,
100343507332,70000.0,30000.0,,70000.0,,
100343015181,70000.0,30000.0,,70000.0,,
100343027681,70000.0,30000.0,,70000.0,,
100342984200,70000.0,30000.0,,70000.0,,
100342912585,70000.0,30000.0,,70000.0,,
100343028793,70000.0,30000.0,,70000.0,,
100343026899,70000.0,30000.0,,70000.0,,
100343028239,70000.0,30000.0,,70000.0,,
100342915540,70000.0,30000.0,,70000.0,,
100343905360,70000.0,30000.0,,70000.0,,
100343026711,70000.0,30000.0,,70000.0,,
100343026563,70000.0,30000.0,,70000.0,,
